# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    140     54      -     50     33      0      0      0      0  14801   2812      0      0   9962     68      0      -      -      0     16     13 
    0    235     69      -    100     52      0      0      0      0  14801   2782      0      0  10994     68      0      -      -      0    171     65 
    0    252     62      -     92     57      0      0      0      0  14801   2782      0      0  10994     68      0      -      -      0    275     67 
    0    211     62      -     92     58      0      0      0      0  14801   2782      0      0  10994     68      0      -      -      0    294     73 
    0    211     62      -     91     58      0      0      0      0  14801   2782      0      0  10994     68      0      -      -      0    275     56 
    0    213     62      -     92     59      0      0      0      0  14801   2782      0      0  10994     68      0      -      -      0    270     68 
    0    214     62      -     92     59      0      0      0      0  14801   2782      0      0  10994     68      0      -      -      0    359     73 
    0    216     62      -     92     62      0      0      0      0  14801   2782      0      0  10994     68      0      -      -      0    352     56 
    0    217     62      -     91     63      0      0      0      0  14801   2782      0      0  10994     68      0      -      -      0    352     70 
    0    218     62      -     92     65      0      0      0      0  14801   2782      0      0  10994     68      0      -      -      0    348     73 
    0    219     62      -     92     66      0      0      0      0  14801   2782      0      0  11042     68      0      -      -      0    349     73 
    0    208     59      -     15     11      0      0      0      0  14801   2782      0      0  11066     68      0      -      -      0     15      6 
