# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    135     49      -     69     49      0      0      0      0  14801   2820      0      0  11266     68      0      -      -      0     18     25 
    0    220     56      -     92     56      0      0      0      0  14801   2775      0      0  13632     68      0      -      -      0    392    106 
    0    189     56      -     91     56      0      0      0      0  14801   2797      0      0  13632     68      0      -      -      0    392     77 
    0    190     56      -     90     57      0      0      0      0  14801   2797      0      0  13642     68      0      -      -      0    384     78 
    0    192     56      -     90     58      0      0      0      0  14801   2797      0      0  13630     68      0      -      -      0    282     63 
    0    194     56      -     90     58      0      0      0      0  14801   2797      0      0  13624     68      0      -      -      0    387     96 
    0    194     56      -     91     59      0      0      0      0  14801   2797      0      0  13617     68      0      -      -      0    288     62 
    0    196     56      -     91     59      0      0      0      0  14801   2797      0      0  13614     68      0      -      -      0    389     96 
    0    197     57      -     91     59      0      0      0      0  14801   2797      0      0  13608     68      0      -      -      0    294     58 
    0    198     57      -     91     60      0      0      0      0  14801   2797      0      0  13606     68      0      -      -      0    475     66 
